,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_series,GPU_model_no
243,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,46833.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,1050
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,57489.12,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
245,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg,52480.8,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,128GB + 2048GB,SSD+HDD,2176.0,Amd,Radeon,530
246,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.04kg,29783.52,0.0,,1.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
247,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.6kg,159786.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7820HK,2.9GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,1080
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49kg,35964.0,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,500GB,HDD,500.0,Intel,Uhd Graphics,620
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,512GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,108691.2,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,3.1GHz,512GB,SSD,512.0,Intel,Iris Plus Graphics,650
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg,43636.32,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Intel,Uhd Graphics,620
251,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3kg,95850.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,980M
252,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,Windows 10,1.68kg,24988.32,0.0,,0.0,1366.0,768.0,Amd,A9-Series 9420,3GHz,1024GB,HDD,1024.0,Amd,Radeon R5,M420
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.37kg,98514.72,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,512GB,SSD,512.0,Intel,Uhd Graphics,620
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Windows 10,3kg,37402.56,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 7130U,2.7GHz,256GB,SSD,256.0,Nvidia,Geforce,MX130
255,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41kg,50562.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
256,HP,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R4 Graphics,Windows 10,1.91kg,23757.552,0.0,,0.0,1366.0,768.0,Amd,A6-Series A6-9220,2.5GHz,128GB,SSD,128.0,Amd,Radeon R4 Graphics,
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,Nvidia GeForce MX150,Windows 10,2.9kg,56423.52,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce,MX150
258,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14kg,133146.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,512GB + 1024GB,SSD+HDD,1536.0,Nvidia,Geforce GTX,1070
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GTX 1050M,Windows 10,2kg,90522.72,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,512GB,SSD,512.0,Nvidia,Geforce GTX,1050M
260,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,60845.76,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Amd,Radeon,530
261,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,No OS,2.2kg,23656.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,256GB,SSD,256.0,Intel,Hd Graphics,520
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.1kg,38468.16,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,500GB,HDD,500.0,Intel,Hd Graphics,620
263,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,35004.96,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
264,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24kg,30103.2,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Amd,Radeon R5,M430
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg,42570.72,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows 10,4.1kg,79866.72,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,512GB + 512GB,SSD,1024.0,Intel,Uhd Graphics,620
268,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.5kg,54239.04,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce,930MX
269,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,46886.4,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,512GB SSD,Intel Iris Graphics 550,macOS,1.37kg,104370.192,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,2.9GHz,512GB,SSD,512.0,Intel,Iris Graphics,550
271,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,82530.72,0.0,Full HD,0.0,1920.0,1080.0,Amd,Ryzen 1700,3GHz,256GB + 1024GB,SSD+HDD,1280.0,Amd,Radeon Rx,580
272,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Linux,2.14kg,39164.5296,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Amd,Radeon,520
273,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.36kg,133146.72,0.0,,1.0,2560.0,1440.0,Intel,Core i7 6600U,2.6GHz,512GB,SSD,512.0,Intel,Hd Graphics,520
274,Toshiba,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2kg,43263.36,0.0,,0.0,1366.0,768.0,Intel,Core i7 6500U,2.5GHz,500GB,HDD,500.0,Nvidia,Geforce,930M
275,Dell,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,37992.3696,0.0,,0.0,1366.0,768.0,Intel,Core i7 7500U,2.7GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
276,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg,58554.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Amd,Radeon,530
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,39693.6,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce,MX130
278,Lenovo,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.8kg,26053.92,0.0,,0.0,1600.0,900.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
279,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,Nvidia GeForce MX150,No OS,2.8kg,45234.72,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,2048GB,HDD,2048.0,Nvidia,Geforce,MX150
280,Lenovo,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8kg,45767.52,0.0,,0.0,1600.0,900.0,Intel,Core i7 7500U,2.7GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce,940MX
281,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,22803.84,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2.0GHz,1024GB,HDD,1024.0,Amd,Radeon R5,M430
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,44169.12,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7300HQ,2.5GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,1050
283,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,30849.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,3kg,50669.28,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,256GB,SSD,256.0,Nvidia,Geforce,MX150
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.15kg,35111.52,1.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.95kg,58448.16,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,630
287,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,52054.56,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Nvidia,Geforce,940MX
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,62817.12,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX 1050 Ti,
289,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,35112.0528,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,1024GB,HDD,1024.0,Nvidia,Geforce,940MX
290,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Intel HD Graphics,Chrome OS,2.19kg,10602.72,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core 3205U,1.5GHz,16GB,SSD,16.0,Intel,Hd Graphics,
291,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,63243.36,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,1050
292,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.54kg,26053.92,0.0,,0.0,1600.0,900.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
293,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,97449.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB,SSD,256.0,Nvidia,Geforce GTX,1050
294,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,39373.92,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,69210.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,1060
296,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5kg,52161.12,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB,SSD,256.0,Nvidia,Geforce GTX 1050 Ti,
297,Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42kg,153705.3408,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7820HQ,2.9GHz,256GB,SSD,256.0,Nvidia,Quadro,M1200
298,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,Windows 10,2.4kg,26586.72,0.0,Full HD,0.0,1920.0,1080.0,Amd,A10-Series 9600P,2.4GHz,1024GB,HDD,1024.0,Amd,Radeon R5,430
299,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,78215.04,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,512GB,SSD,512.0,Nvidia,Geforce,940MX
300,Asus,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,27119.52,0.0,,0.0,1366.0,768.0,Intel,Core i3 7100U,2.4GHz,128GB,SSD,128.0,Intel,Hd Graphics,620
301,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,113060.16,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,1070
302,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,5.8kg,34578.72,0.0,,0.0,1600.0,900.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Nvidia,Geforce GTX,940M
303,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,29250.72,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,2048GB,HDD,2048.0,Nvidia,Geforce,940MX
304,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,67399.2,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce GTX 1050 Ti,
305,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,No OS,2.2kg,19180.2672,0.0,,0.0,1366.0,768.0,Intel,Pentium Quad Core N4200,1.1GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,505
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.28kg,105228.0,0.0,Full HD,1.0,1920.0,1080.0,Intel,Core i7 7600U,2.8GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2kg,55571.04,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 6500U,2.5GHz,256GB,SSD,256.0,Nvidia,Geforce,930M
308,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,43636.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,Geforce,940MX
309,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.86kg,24988.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i3 6006U,2GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,520
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.1kg,53226.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,133146.72,1.0,4K Ultra HD,1.0,3840.0,2160.0,Intel,Core i7 8550U,1.8GHz,1024GB,SSD,1024.0,Intel,Uhd Graphics,620
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,111834.72,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7700HQ,2.8GHz,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,Geforce GTX,1070
313,Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,Windows 10,2.23kg,24988.32,0.0,Full HD,0.0,1920.0,1080.0,Amd,A8-Series 7410,2.2GHz,256GB,SSD,256.0,Amd,Radeon,R5
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,14652.0,0.0,,1.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,500
315,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg,44968.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,128GB + 1024GB,SSD+HDD,1152.0,Amd,Radeon,530
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.29kg,130482.72,1.0,4K Ultra HD,1.0,3840.0,2160.0,Intel,Core i7 8550U,1.8GHz,1024GB,SSD,1024.0,Intel,Uhd Graphics,620
317,Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,24503.472,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core 3855U,1.6GHz,16GB,Flash Storage,16.0,Intel,Hd Graphics,510
318,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,52214.4,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
319,Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows 10,1.4kg,25840.8,0.0,,0.0,1366.0,768.0,Intel,Pentium Quad Core N3710,1.6GHz,128GB,Flash Storage,128.0,Intel,Hd Graphics,405
320,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,68837.76,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
321,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.79kg,31381.92,0.0,,0.0,1600.0,900.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Nvidia,Geforce,920MX
322,Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,58288.32,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
323,HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1kg,48058.56,1.0,Full HD,0.0,1366.0,768.0,Intel,Core i7 8550U,1.8GHz,1024GB,HDD,1024.0,Intel,Uhd Graphics,620
324,Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,AMD Radeon RX 540,Windows 10,2.2kg,35111.52,0.0,,0.0,1366.0,768.0,Amd,A12-Series 9720P,2.7GHz,256GB,SSD,256.0,Amd,Radeon Rx,540
325,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,15557.76,0.0,,0.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1GHz,32GB,Flash Storage,32.0,Intel,Hd Graphics,500
326,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,8.23kg,29250.72,0.0,,0.0,1366.0,768.0,Intel,Core i5 7200U,2.5GHz,1024GB,HDD,1024.0,Intel,Hd Graphics,620
327,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,55938.672,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Nvidia,Geforce,940MX
328,HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,71128.8,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 7500U,2.7GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
