,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed_GHz,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_Series,GPU_model_no,Ram_GB,Weight_kg
237,Asus,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg,30636.0,0,Full HD,0,1920,1080,Amd,A10-Series A10-9620P,2.5,128GB + 1024GB,SSD+HDD,1152.0,AMD,Radeon,R5 M430,4.0,2.2
238,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,Windows 10,4.7kg,207259.2,0,Full HD,0,1920,1080,Intel,Core i7 7820HK,2.9,512GB + 1024GB,SSD+HDD,1536.0,Nvidia,GeForce GTX,1080,32.0,4.7
239,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,45074.88,1,Full HD,0,1920,1080,Intel,Core i5 7300HQ,2.5,256GB,SSD,256.0,Nvidia,GeForce GTX,1050,8.0,2.5
240,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,128GB SSD,Intel HD Graphics 520,Windows 10,7.2kg,31381.92,0,Not_given,0,1366,768,Intel,Core i3 6006U,2.0,128GB,SSD,128.0,Intel,HD Graphics,520,8.0,7.2
241,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 150MX,Windows 10,2.1kg,61005.6,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce,150MX,8.0,2.1
242,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,No OS,2.69kg,47365.92,0,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce GTX,950M,8.0,2.69
243,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,46833.12,0,Full HD,0,1920,1080,Intel,Core i5 7300HQ,2.5,256GB,SSD,256.0,Nvidia,GeForce GTX,1050,8.0,2.56
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,57489.12,1,Full HD,1,1920,1080,Intel,Core i7 7500U,2.7,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.38
245,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg,52480.8,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,128GB + 2048GB,SSD+HDD,2176.0,AMD,Radeon,530,8.0,2.2
246,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.04kg,29783.52,0,Not_given,1,1366,768,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Intel,HD Graphics,620,8.0,2.04
247,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.6kg,159786.72,0,Full HD,0,1920,1080,Intel,Core i7 7820HK,2.9,256GB,SSD,256.0,Nvidia,GeForce GTX,1080,16.0,3.6
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49kg,35964.0,1,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,500GB,HDD,500.0,Intel,HD Graphics,U 620,4.0,1.49
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,512GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,108691.2,1,Retina Display,0,2560,1600,Intel,Core i5,3.1,512GB,SSD,512.0,Intel,Iris Plus,650,8.0,1.37
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg,43636.32,1,Full HD,1,1920,1080,Intel,Core i7 8550U,1.8,1024GB,HDD,1024.0,Intel,HD Graphics,U 620,8.0,2.08
251,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3kg,95850.72,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,GeForce GTX,980M,16.0,4.3
252,Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,Windows 10,1.68kg,24988.32,0,Not_given,0,1366,768,Amd,A9-Series 9420,3.0,1024GB,HDD,1024.0,AMD,Radeon,R5 M420,4.0,1.68
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.37kg,98514.72,1,Full HD,1,1920,1080,Intel,Core i7 8550U,1.8,512GB,SSD,512.0,Intel,HD Graphics,U 620,8.0,1.37
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Windows 10,3kg,37402.56,1,Full HD,0,1920,1080,Intel,Core i3 7130U,2.7,256GB,SSD,256.0,Nvidia,GeForce,MX130,4.0,3.0
255,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41kg,50562.72,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,1.41
256,HP,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R4 Graphics,Windows 10,1.91kg,23757.552,0,Not_given,0,1366,768,Amd,A6-Series A6-9220,2.5,128GB,SSD,128.0,AMD,Radeon,R4 Graphics,8.0,1.91
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,Nvidia GeForce MX150,Windows 10,2.9kg,56423.52,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,1024GB,HDD,1024.0,Nvidia,GeForce,MX150,16.0,2.9
258,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14kg,133146.72,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,512GB + 1024GB,SSD+HDD,1536.0,Nvidia,GeForce GTX,1070,16.0,4.14
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GTX 1050M,Windows 10,2kg,90522.72,1,Full HD,1,1920,1080,Intel,Core i7 7700HQ,2.8,512GB,SSD,512.0,Nvidia,GeForce GTX,1050M,8.0,2.0
260,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,60845.76,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,128GB + 1024GB,SSD+HDD,1152.0,AMD,Radeon,530,8.0,2.8
261,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,No OS,2.2kg,23656.32,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,256GB,SSD,256.0,Intel,HD Graphics,520,4.0,2.2
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.1kg,38468.16,1,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,500GB,HDD,500.0,Intel,HD Graphics,620,4.0,2.1
263,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,35004.96,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Intel,HD Graphics,620,4.0,2.18
264,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24kg,30103.2,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,AMD,Radeon,R5 M430,8.0,2.24
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg,42570.72,0,Full HD,1,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,2.67
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows 10,4.1kg,79866.72,0,Full HD,1,1920,1080,Intel,Core i7 8550U,1.8,512GB + 512GB,SSD,1024.0,Intel,HD Graphics,U 620,8.0,4.1
268,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.5kg,54239.04,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,1024GB,HDD,1024.0,Nvidia,GeForce,930MX,8.0,2.5
269,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,46886.4,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,2.05
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,512GB SSD,Intel Iris Graphics 550,macOS,1.37kg,104370.192,1,Retina Display,0,2560,1600,Intel,Core i5,2.9,512GB,SSD,512.0,Intel,Iris,550,8.0,1.37
271,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,82530.72,0,Full HD,0,1920,1080,Amd,Ryzen 1700,3.0,256GB + 1024GB,SSD+HDD,1280.0,AMD,Radeon RX,580,16.0,3.2
272,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Linux,2.14kg,39164.5296,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,AMD,Radeon,520,8.0,2.14
273,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.36kg,133146.72,0,Not_given,1,2560,1440,Intel,Core i7 6600U,2.6,512GB,SSD,512.0,Intel,HD Graphics,520,16.0,1.36
274,Toshiba,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2kg,43263.36,0,Not_given,0,1366,768,Intel,Core i7 6500U,2.5,500GB,HDD,500.0,Nvidia,GeForce,930M,8.0,2.2
275,Dell,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,37992.3696,0,Not_given,0,1366,768,Intel,Core i7 7500U,2.7,1024GB,HDD,1024.0,Intel,HD Graphics,620,12.0,2.3
276,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg,58554.72,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,128GB + 1024GB,SSD+HDD,1152.0,AMD,Radeon,530,8.0,2.8
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,39693.6,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,1024GB,HDD,1024.0,Nvidia,GeForce,MX130,8.0,2.2
278,Lenovo,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.8kg,26053.92,0,Not_given,0,1600,900,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,Intel,HD Graphics,520,4.0,2.8
279,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,Nvidia GeForce MX150,No OS,2.8kg,45234.72,0,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,2048GB,HDD,2048.0,Nvidia,GeForce,MX150,8.0,2.8
280,Lenovo,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8kg,45767.52,0,Not_given,0,1600,900,Intel,Core i7 7500U,2.7,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce,940MX,6.0,2.8
281,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,22803.84,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,AMD,Radeon,R5 M430,4.0,2.25
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,44169.12,1,Full HD,0,1920,1080,Intel,Core i5 7300HQ,2.5,256GB,SSD,256.0,Nvidia,GeForce GTX,1050,8.0,2.5
283,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,30849.12,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,6.0,2.2
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,3kg,50669.28,1,Full HD,0,1920,1080,Intel,Core i7 8550U,1.8,256GB,SSD,256.0,Nvidia,GeForce,MX150,8.0,3.0
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.15kg,35111.52,1,Full HD,1,1920,1080,Intel,Core i7 7500U,2.7,1024GB,HDD,1024.0,Intel,HD Graphics,620,12.0,2.15
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.95kg,58448.16,1,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,256GB,SSD,256.0,Intel,HD Graphics,630,8.0,1.95
287,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,52054.56,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Nvidia,GeForce,940MX,8.0,1.7
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,62817.12,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,GeForce GTX,1050 Ti,16.0,2.5
289,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,35112.0528,0,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,1024GB,HDD,1024.0,Nvidia,GeForce,940MX,8.0,2.2
290,Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Intel HD Graphics,Chrome OS,2.19kg,10602.72,0,Not_given,0,1366,768,Intel,Celeron Dual Core 3205U,1.5,16GB,SSD,16.0,Intel,HD Graphics,Generic,2.0,2.19
291,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,63243.36,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,1024GB,HDD,1024.0,Nvidia,GeForce GTX,1050,8.0,3.0
292,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.54kg,26053.92,0,Not_given,0,1600,900,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,Intel,HD Graphics,520,8.0,2.54
293,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,97449.12,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB,SSD,256.0,Nvidia,GeForce GTX,1050,8.0,2.0
294,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,39373.92,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,256GB,SSD,256.0,Intel,HD Graphics,U 620,8.0,2.05
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,69210.72,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,1024GB,HDD,1024.0,Nvidia,GeForce GTX,1060,8.0,3.2
296,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5kg,52161.12,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB,SSD,256.0,Nvidia,GeForce GTX,1050 Ti,8.0,2.5
297,Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42kg,153705.3408,0,Full HD,0,1920,1080,Intel,Core i7 7820HQ,2.9,256GB,SSD,256.0,Nvidia,Quadro,M1200,16.0,3.42
298,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,Windows 10,2.4kg,26586.72,0,Full HD,0,1920,1080,Amd,A10-Series 9600P,2.4,1024GB,HDD,1024.0,AMD,Radeon,R5 430,6.0,2.4
299,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,78215.04,0,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,512GB,SSD,512.0,Nvidia,GeForce,940MX,16.0,1.63
300,Asus,Notebook,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,27119.52,0,Not_given,0,1366,768,Intel,Core i3 7100U,2.4,128GB,SSD,128.0,Intel,HD Graphics,620,4.0,1.3
301,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,113060.16,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,GeForce GTX,1070,16.0,2.9
302,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,5.8kg,34578.72,0,Not_given,0,1600,900,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Nvidia,GeForce GTX,940M,6.0,5.8
303,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,29250.72,0,Not_given,0,1366,768,Intel,Core i5 7200U,2.5,2048GB,HDD,2048.0,Nvidia,GeForce,940MX,8.0,2.2
304,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,67399.2,0,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce GTX,1050 Ti,8.0,2.5
305,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,No OS,2.2kg,19180.2672,0,Not_given,0,1366,768,Intel,Pentium Quad Core N4200,1.1,1024GB,HDD,1024.0,Intel,HD Graphics,505,4.0,2.2
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.28kg,105228.0,0,Full HD,1,1920,1080,Intel,Core i7 7600U,2.8,256GB,SSD,256.0,Intel,HD Graphics,620,16.0,1.28
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2kg,55571.04,1,Full HD,0,1920,1080,Intel,Core i7 6500U,2.5,256GB,SSD,256.0,Nvidia,GeForce,930M,8.0,2.2
308,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,43636.32,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,128GB + 1024GB,SSD+HDD,1152.0,Nvidia,GeForce,940MX,8.0,2.3
309,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.86kg,24988.32,0,Full HD,0,1920,1080,Intel,Core i3 6006U,2.0,1024GB,HDD,1024.0,Intel,HD Graphics,520,4.0,1.86
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.1kg,53226.72,1,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.1
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,133146.72,1,4K Ultra HD,1,3840,2160,Intel,Core i7 8550U,1.8,1024GB,SSD,1024.0,Intel,HD Graphics,U 620,16.0,1.21
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,111834.72,1,Full HD,0,1920,1080,Intel,Core i7 7700HQ,2.8,256GB + 1024GB,SSD+HDD,1280.0,Nvidia,GeForce GTX,1070,16.0,2.8
313,Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,Windows 10,2.23kg,24988.32,0,Full HD,0,1920,1080,Amd,A8-Series 7410,2.2,256GB,SSD,256.0,AMD,Radeon,R5,8.0,2.23
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,14652.0,0,Not_given,1,1366,768,Intel,Celeron Dual Core N3350,1.1,32GB,Flash Storage,32.0,Intel,HD Graphics,500,2.0,1.1
315,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg,44968.32,0,Full HD,0,1920,1080,Intel,Core i5 8250U,1.6,128GB + 1024GB,SSD+HDD,1152.0,AMD,Radeon,530,8.0,2.33
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.29kg,130482.72,1,4K Ultra HD,1,3840,2160,Intel,Core i7 8550U,1.8,1024GB,SSD,1024.0,Intel,HD Graphics,U 620,16.0,1.29
317,Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,24503.472,0,Not_given,0,1366,768,Intel,Celeron Dual Core 3855U,1.6,16GB,Flash Storage,16.0,Intel,HD Graphics,510,4.0,1.45
318,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,52214.4,0,Full HD,0,1920,1080,Intel,Core i5 7200U,2.5,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.95
319,Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows 10,1.4kg,25840.8,0,Not_given,0,1366,768,Intel,Pentium Quad Core N3710,1.6,128GB,Flash Storage,128.0,Intel,HD Graphics,405,4.0,1.4
320,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,68837.76,0,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,1.48
321,Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.79kg,31381.92,0,Not_given,0,1600,900,Intel,Core i5 7200U,2.5,1024GB,HDD,1024.0,Nvidia,GeForce,920MX,4.0,2.79
322,Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,58288.32,0,Full HD,0,1920,1080,Intel,Core i7 7500U,2.7,256GB,SSD,256.0,Intel,HD Graphics,620,8.0,2.0
